Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
2,VACV_CHX,10,1.33925,0.00235876,,,,0.00235876,0.9299695945
4,VACV_CHX,1,1.33928,0.00300694,,,,0.00300694,1.185522381
4,VACV_CHX,2,1.33908,0.00279372,,,,0.00279372,1.101457823
4,VACV_CHX,3,1.33908,0.0028892,,,,0.0028892,1.139101966
4,VACV_CHX,4,1.33914,0.00317201,,,,0.00317201,1.250603221
4,VACV_CHX,5,1.33908,0.00303657,,,,0.00303657,1.197204367
4,VACV_CHX,6,1.33942,0.00357746,,,,0.00357746,1.410456776
4,VACV_CHX,7,1.33907,0.0034177,,,,0.0034177,1.347469468
4,VACV_CHX,8,1.33838,0.00306176,,,,0.00306176,1.207135828
4,VACV_CHX,9,1.33932,0.00386693,,,,0.00386693,1.524583817
4,VACV_CHX,10,1.33914,0.00383915,,,,0.00383915,1.513631217
6,VACV_CHX,1,1.33947,0.0052596,,,,0.0052596,2.073660771
6,VACV_CHX,2,1.33917,0.00476711,,,,0.00476711,1.879490645
6,VACV_CHX,3,1.33941,0.00515776,,,,0.00515776,2.033509122
6,VACV_CHX,4,1.34079,0.00658627,,,,0.00658627,2.596716428
6,VACV_CHX,5,1.34114,0.00807087,,,,0.00807087,3.182037893
6,VACV_CHX,6,1.3411,0.00724537,,,,0.00724537,2.856574557
6,VACV_CHX,7,1.34073,0.00667235,,,,0.00667235,2.630654507
6,VACV_CHX,8,1.34054,0.00651054,,,,0.00651054,2.566858961
6,VACV_CHX,9,1.34075,0.00765611,,,,0.00765611,3.018513758
6,VACV_CHX,10,1.34084,0.00690129,,,,0.00690129,2.720916864
8,VACV_CHX,1,1.3424,0.0043373,,,,0.0043373,1.710032866
8,VACV_CHX,2,1.34159,0.00589204,,,,0.00589204,2.323007873
8,VACV_CHX,3,1.34291,0.00576528,,,,0.00576528,2.273031213
8,VACV_CHX,4,1.34129,0.00484013,,,,0.00484013,1.908279661
8,VACV_CHX,5,1.34165,0.00447834,,,,0.00447834,1.765639588
8,VACV_CHX,6,1.34108,0.00459417,,,,0.00459417,1.811306963
8,VACV_CHX,7,1.34145,0.00452141,,,,0.00452141,1.782620455
8,VACV_CHX,8,1.34161,0.00409531,,,,0.00409531,1.614625388
